epoch,train_total_loss,train_kd_loss,train_ce_loss,train_acc,train_f1,train_precision,train_recall,val_total_loss,val_kd_loss,val_ce_loss,val_acc,val_f1,val_precision,val_recall,best_epoch
0,6.393532075380024,8.126772755070737,1.1938097837724184,54.742096505823625,45.90085257689843,44.3791918713758,54.742096505823625,5.544827688071463,6.635905954572889,2.271593195548727,57.69230769230769,46.75443786982249,39.31483816729718,57.692307692307686,-1
1,5.29866866061562,6.658010696109972,1.2206424090423083,61.39767054908486,50.22069963706334,42.576918697889155,61.39767054908486,3.7709287802378335,4.67566900783115,1.0567081810699568,59.23076923076923,49.02932853100078,42.154435602711466,59.23076923076923,-1
2,4.71601875204789,5.909309638173957,1.1361461422945325,62.562396006655575,54.30031109656771,54.46097084569196,62.562396006655575,5.99859262837304,7.123515367507935,2.623824161529127,60.76923076923077,53.90798675009201,53.482106129164954,60.76923076923077,-1
3,4.490176269882603,5.612549022624367,1.1230579104862715,68.21963394342762,63.45395928254213,59.711402173964565,68.21963394342761,4.973591832651032,5.906093822585212,2.1760859656658593,63.84615384615385,58.50700254910781,55.5493371437644,63.84615384615384,-1
4,3.912844494769448,4.894151750363801,0.9689226919098904,70.38269550748753,65.46450135535947,61.63716320929247,70.38269550748753,3.8799623582098217,4.6545479032728405,1.5562058000100985,66.92307692307692,62.491638795986624,58.82825745682888,66.92307692307692,-1
5,3.5478644151436654,4.453823321744015,0.8299876675009727,73.71048252911814,69.25043126551252,76.80513289521944,73.71048252911814,4.749418172571394,5.699490699503157,1.8992005840150847,66.15384615384616,59.84244236004304,59.614269788182824,66.15384615384615,-1
6,3.3516803979873657,4.177306200328626,0.8748031007616144,75.20798668885192,70.36599300290264,66.2147394778017,75.20798668885192,3.6496558719211154,4.558838526407878,0.9221079779995812,69.23076923076923,68.02343206763666,71.15719332590767,69.23076923076923,-1
7,3.061086356639862,3.8501822697488883,0.6937986729960692,76.87188019966722,74.7667595171763,74.7122496788632,76.87188019966722,4.002932185928027,4.798317955599891,1.616774845399454,76.92307692307692,75.57080318055928,78.25861665496606,76.92307692307693,-1
8,2.788799950951024,3.5038297835149264,0.6437104207120443,81.69717138103161,80.34816290887132,81.3529711217296,81.69717138103162,3.1662994821866355,3.8229635655879974,1.1963071225521464,79.23076923076923,78.62769490305722,79.81908587535432,79.23076923076923,-1
9,2.3961861823734485,3.0050581819132756,0.5695700939548644,83.52745424292846,83.25242220164414,83.2449291431753,83.52745424292846,3.294552000032531,3.925414423147837,1.4019651174498398,77.6923076923077,76.37453141565382,78.01150016213538,77.6923076923077,-1
10,2.3648879763327146,2.9565564205771997,0.5898826371780351,84.35940099833611,84.06300463375041,84.06696830222565,84.35940099833611,2.785522417889701,3.3452459391620426,1.1063519400397328,82.3076923076923,81.64509431534778,82.4934324934325,82.3076923076923,-1
11,2.0250871448140395,2.5335236850537752,0.49977753703531463,86.02329450915141,85.7185630582937,85.7848108988745,86.02329450915141,2.8063294225268893,3.4107518328560724,0.9930622147189246,78.46153846153847,77.69382267930362,77.80790637933495,78.46153846153847,11
12,1.881023424236398,2.36343378769724,0.43379235149998413,87.18801996672212,87.01389243319937,87.0845895591507,87.18801996672212,2.6337817725208073,3.181689575314522,0.9900582226271379,83.84615384615384,83.48945921704974,83.86135876701914,83.84615384615385,12
13,1.6632189280108403,2.0948234890636646,0.36840533604845405,89.01830282861897,88.84194275110254,88.9619265566961,89.01830282861897,2.3176587753825717,2.833134028646681,0.7712331177252862,83.84615384615384,83.43808718753775,83.71570736955351,83.84615384615385,13
14,1.5368347858127795,1.936820398820074,0.33687791723365845,89.51747088186356,89.41339062347848,89.42499417415193,89.51747088186356,2.5636209415064917,3.0918811162312827,0.9788404051699521,79.23076923076923,78.54663241268017,78.71487003562476,79.23076923076923,13
15,1.6585852990024967,2.08429112716725,0.3814678134543723,89.6838602329451,89.55818946352423,89.73522478241624,89.6838602329451,2.1265563236342535,2.6013493604130216,0.7021773088971612,86.15384615384616,85.92311854811855,86.9643485558052,86.15384615384616,15
16,1.6670796071228229,2.0706070912511727,0.45649714694407423,89.51747088186356,89.3246524874646,89.66618123797748,89.51747088186356,2.4167866673734455,2.9456587897406683,0.8301701354794204,84.61538461538461,84.44953101174299,85.38831360946746,84.61538461538461,15
17,1.3929985338135769,1.7583040085278059,0.2970821295962914,91.68053244592346,91.6139438946533,91.61050638785431,91.68053244592346,2.0020767880810633,2.434151040183173,0.7058539372204299,83.07692307692308,82.69487552105862,83.78656984041599,83.07692307692308,17
18,1.5527119401254152,1.9521807259634922,0.3543056200417739,89.6838602329451,89.57542699306656,89.60770176068209,89.6838602329451,1.82762763566441,2.289057602485021,0.44333787421864046,82.3076923076923,82.13178574003317,83.31573655103067,82.3076923076923,18
19,1.2359275143397481,1.5742425871522803,0.22098230523988605,93.34442595673877,93.31088327916532,93.32377906976407,93.34442595673876,2.0112503866354623,2.447357768813769,0.7029279981545389,85.38461538461539,85.03259361003023,86.87004662004661,85.38461538461539,18
20,1.3082159906625748,1.6488395231334787,0.2863454302469587,92.17970049916805,92.10165388253226,92.13453320866867,92.17970049916805,2.238934192392561,2.790106091234419,0.5854185271309689,86.92307692307692,86.63788254755997,87.42307692307692,86.92307692307692,18
21,1.3805952354481346,1.7332753946906643,0.32255471586004686,91.34775374376039,91.26160818256804,91.2758305896254,91.34775374376039,2.4369155367215476,2.9485836343632803,0.9019113025664309,80.76923076923077,80.09513357429532,82.51693686262894,80.76923076923077,18
22,1.2015178556505002,1.5266040469470776,0.2262592473753581,93.34442595673877,93.33045562681608,93.38665537294024,93.34442595673876,2.2710328665044575,2.788347909847895,0.719087995990574,83.84615384615384,83.36440311824927,85.52706552706553,83.84615384615385,18
23,1.2601986590184664,1.5991799203973067,0.2432548332481498,92.51247920133112,92.44437868693026,92.58801875153189,92.5124792013311,2.47328664527999,2.954987108707428,1.0281852475786257,82.3076923076923,81.6910175601324,83.82137990833643,82.3076923076923,18
24,1.2237752448571355,1.5568445552336543,0.2245673502881178,93.17803660565724,93.13185178237548,93.14062007563547,93.17803660565723,1.8246454861429002,2.212660092446539,0.6606018282424581,83.07692307692308,82.7345128738857,82.95752815788153,83.07692307692308,24
25,1.3926474153995514,1.7554433047771454,0.30425973237786247,91.34775374376039,91.14034936479449,91.3696625812462,91.34775374376039,2.388239989678065,2.87095098859734,0.9401067962211932,79.23076923076923,79.07177652069292,83.04300530704472,79.23076923076923,24
