epoch,train_loss,train_acc,train_f1,train_precision,train_recall,val_loss,val_acc,val_f1,val_precision,val_recall,best_epoch
0,0.8446983393085631,64.72545757071548,64.84718359843151,65.11971869565211,64.72545757071548,0.8144031210621405,75.38461538461539,74.13445361602042,75.63841846335215,75.38461538461539,0
1,0.48072977050354604,79.86688851913478,79.39236904443628,79.06402707526784,79.86688851913478,0.820213996789486,77.6923076923077,76.10597287453517,76.01000537923615,77.6923076923077,0
2,0.48128033468597814,82.02995008319468,81.87119023313693,81.79926740001284,82.02995008319468,0.5699601149859114,79.23076923076923,78.64393040758101,79.22759982334452,79.23076923076923,0
3,0.42811826381244156,85.02495840266224,84.9230513674946,85.00571759870232,85.02495840266224,0.4916764836137493,79.23076923076923,79.09141876739348,81.22692307692307,79.23076923076923,0
4,0.33831560807792765,86.35607321131448,86.15358791521899,86.11049011953594,86.35607321131448,0.6607859165718158,78.46153846153847,77.79723679224587,77.63381277666991,78.46153846153847,0
5,0.35420152780256775,87.35440931780366,87.10673355947193,87.47922629793857,87.35440931780366,0.5670358673928099,80.0,79.3716515821779,80.90177679463395,80.0,0
6,0.27267263466982467,89.51747088186356,89.49312904824403,89.47129425958877,89.51747088186356,0.48107439145678654,80.76923076923077,80.65566397031678,83.1863001268724,80.76923076923077,0
7,0.21279433232388997,92.34608985024958,92.23416170626736,92.31636099619958,92.34608985024958,0.5476646715542302,76.92307692307692,76.44530033029757,78.56052615627084,76.92307692307693,0
8,0.2215920605353619,91.18136439267886,91.14445119590894,91.12213502383149,91.18136439267886,0.640945787197375,79.23076923076923,78.78224767535674,79.45965798906975,79.23076923076923,0
9,0.16347530268524824,93.17803660565723,93.13024399014871,93.12734660135568,93.17803660565723,0.5223613039124757,81.53846153846153,81.76547954478718,84.90035530246604,81.53846153846153,0
10,0.13103697497985864,94.84193011647255,94.83474635495095,94.87942139938286,94.84193011647255,0.547062735280229,77.6923076923077,77.94337606837607,78.55912548027692,77.6923076923077,0
11,0.20602863747626543,91.34775374376039,91.30510091958298,91.36366064324976,91.34775374376039,0.5668839128274057,80.76923076923077,81.34402465412919,82.61633572670361,80.76923076923077,0
12,0.13350195981758206,95.6738768718802,95.64574798555799,95.66214331562377,95.6738768718802,0.6283908496293912,83.84615384615384,83.66684126309217,85.93775168930449,83.84615384615385,11
13,0.09174407106873236,97.00499168053244,97.00310920719568,97.00230994740147,97.00499168053244,0.496945733029861,84.61538461538461,84.67204127308491,84.83521662866576,84.61538461538461,11
14,0.1078570676281264,96.00665557404326,96.01049268445382,96.05073296561392,96.00665557404326,0.5101663140166137,85.38461538461539,85.67634501887474,87.1274576362458,85.38461538461539,13
15,0.09565867345142913,96.83860232945092,96.82432781971356,96.82310528204626,96.83860232945092,0.536725328821275,85.38461538461539,85.58540225206892,86.31578947368422,85.38461538461539,13
16,0.06731809901171609,98.00332778702163,97.98850383569741,98.03095932003893,98.00332778702163,0.4748236660509267,83.84615384615384,83.91905487868158,84.32210960206481,83.84615384615385,13
17,0.05601519451623684,98.66888519134775,98.6681991927457,98.67494981289065,98.66888519134775,0.5575169346864439,83.07692307692308,83.07692307692308,83.07692307692308,83.07692307692308,16
18,0.06816830211564114,97.8369384359401,97.83435737116756,97.83605731006615,97.8369384359401,0.5602707912573047,86.15384615384616,86.16724898333239,86.93467200273007,86.15384615384616,16
19,0.0606929578475262,98.16971713810317,98.16804738775791,98.17740331904459,98.16971713810317,0.5946675803926256,83.84615384615384,84.05214393449687,84.54757907902966,83.84615384615385,16
20,0.05434590857475996,98.66888519134775,98.6687648902372,98.67135331049002,98.66888519134775,0.5313082047634654,84.61538461538461,84.66588819150489,84.73901098901099,84.61538461538461,16
21,0.030639080888297605,99.50083194675541,99.50038311563428,99.50104108369744,99.50083194675541,0.6910310417952132,80.0,79.47777108736013,81.04102564102564,80.0,16
22,0.05619396573226703,98.16971713810317,98.16513254025352,98.17426138508651,98.16971713810317,0.6259420529564118,82.3076923076923,82.17961360582619,82.45329808036576,82.3076923076923,16
23,0.03405318537874049,99.16805324459234,99.16801323251565,99.1690780156083,99.16805324459234,0.7942599028416831,80.0,79.85759865148574,81.42086247086247,80.0,16
24,0.07350155553094258,97.67054908485858,97.66944320524698,97.69339859055209,97.67054908485858,0.8994595826495697,77.6923076923077,77.02999172923985,78.01503118156113,77.6923076923077,16
25,0.07375407050130889,97.50415973377704,97.49387677049202,97.53296681991068,97.50415973377704,0.7147086082647244,83.07692307692308,82.99508587554129,82.92845452419921,83.07692307692308,16
26,0.04910031968335572,98.16971713810317,98.16623467420526,98.16908715419888,98.16971713810317,0.6396128202840272,80.76923076923077,80.58413217987686,80.45809881175735,80.76923076923077,16
27,0.055437111056801915,97.8369384359401,97.83326037134849,97.85251715492642,97.8369384359401,0.8932889288860477,78.46153846153847,77.65674820853684,79.5553613053613,78.46153846153847,16
28,0.06518212006745958,98.50249584026622,98.50433624535611,98.51061239397751,98.50249584026622,0.4988929377642408,85.38461538461539,85.30365554269291,85.43943612948138,85.38461538461539,16
29,0.04381824914660109,99.00166389351082,98.99425768613543,98.99896064915153,99.00166389351082,0.4766331505832366,85.38461538461539,85.23252754533553,85.29291450307934,85.38461538461539,16
30,0.02203363479164086,99.33444259567388,99.33380192834895,99.33912562218619,99.33444259567388,0.7472596352745313,81.53846153846153,81.31743944397307,81.37751085589431,81.53846153846153,16
31,0.040377992188472205,98.66888519134775,98.66830167060418,98.67673452717797,98.66888519134775,0.5628667820193287,83.07692307692308,83.03572820290145,83.29941267640102,83.07692307692308,16
32,0.049212224616080914,98.50249584026622,98.50112423835328,98.51752096561472,98.50249584026622,0.5333083472376328,84.61538461538461,84.41489627262551,84.80622244476925,84.61538461538461,16
33,0.021393012485197305,99.00166389351082,99.00585123951278,99.01880073251921,99.00166389351082,0.5560924874152988,86.15384615384616,86.01282564979398,86.03936420722135,86.15384615384616,16
34,0.025977666391745993,99.16805324459234,99.16207627111235,99.16984763955499,99.16805324459234,0.6256025290737549,82.3076923076923,82.37223092804705,82.94585480475737,82.3076923076923,16
35,0.01488846640935854,99.66722129783693,99.66722129783693,99.66722129783693,99.66722129783693,0.6336679669426909,85.38461538461539,85.13353814916113,85.00961090191859,85.38461538461539,16
36,0.010997535510748429,99.66722129783693,99.66682981998862,99.66801362808019,99.66722129783693,0.5671927069908835,86.92307692307692,87.10382227124309,87.45347985347985,86.92307692307692,16
37,0.04185879744411642,98.33610648918469,98.35457827897464,98.4052456432262,98.33610648918469,0.6927607720216555,81.53846153846153,81.58803393849561,82.74958701429291,81.53846153846153,16
38,0.04916917473862046,98.16971713810317,98.17135731618788,98.1737953084728,98.16971713810317,0.9120533514307883,81.53846153846153,81.84981684981686,82.80158865524719,81.53846153846153,16
39,0.02415230106807461,99.66722129783693,99.66698229706333,99.66861952767796,99.66722129783693,0.808308099461202,83.07692307692308,83.3300183978917,84.47580489685753,83.07692307692308,16
40,0.018791731212619005,99.83361064891847,99.83322502528081,99.8344262829924,99.83361064891847,0.7938644606126926,83.84615384615384,83.8755980861244,84.38938153223867,83.84615384615385,16
41,0.033965811750692264,99.16805324459234,99.1621265513778,99.17040512148515,99.16805324459234,0.6684298515118725,80.76923076923077,80.58680796058728,80.64015606242498,80.76923076923077,16
42,0.016349846684055303,100.0,100.0,100.0,100.0,0.5863708506286558,84.61538461538461,84.83115413838306,85.93706293706293,84.61538461538461,16
43,0.02713370283508036,99.50083194675541,99.5004142452111,99.50080056733984,99.50083194675541,0.6081632576192786,83.07692307692308,82.86233683756903,82.7574223685722,83.07692307692308,16
44,0.03752088214050194,98.66888519134775,98.66959560835853,98.68781482017334,98.66888519134775,0.5895273010828532,85.38461538461539,85.07009066583534,85.1889122879303,85.38461538461539,16
45,0.035941347122915385,98.00332778702163,98.01165745925366,98.02698376602227,98.00332778702163,1.2746233147442279,76.15384615384616,75.94714809000523,77.94945673463496,76.15384615384615,16
46,0.03167889408742715,99.16805324459234,99.1673492348736,99.1779627995524,99.16805324459234,0.6417194375284857,85.38461538461539,85.30986860431501,85.55229222495998,85.38461538461539,16
47,0.06692073070045904,97.8369384359401,97.82898556894631,97.84434588147388,97.8369384359401,0.7638238427591406,80.0,80.64047716988895,81.84249084249085,80.0,16
48,0.05937777431436667,98.16971713810317,98.16806249268599,98.17546373645864,98.16971713810317,0.7593014800254928,80.0,79.93580663015017,80.88584492430647,80.0,16
49,0.032443977623571346,99.00166389351082,99.00110281568875,99.00646603622037,99.00166389351082,0.5847880586257411,85.38461538461539,85.34887334887335,86.30717546730983,85.38461538461539,16
50,0.012362525876501183,99.83361064891847,99.83398701091434,99.83592161212795,99.83361064891847,0.6581664915429428,83.84615384615384,83.81939902273865,84.55128205128204,83.84615384615385,16
51,0.026536520394361822,98.83527454242929,98.83210395881538,98.83631510469425,98.83527454242929,0.6655581647064537,82.3076923076923,82.25140847762107,82.71551130573688,82.3076923076923,16
52,0.03324151904120012,99.00166389351082,99.00107683601917,99.00907760820465,99.00166389351082,0.6058688255224196,84.61538461538461,84.33089905874715,84.67070439139405,84.61538461538461,16
53,0.028509255765943396,99.00166389351082,99.00166389351082,99.00166389351082,99.00166389351082,0.4861973746495399,87.6923076923077,87.491305342349,87.41649810455047,87.6923076923077,16
54,0.026390783171671883,99.33444259567388,99.33394974444622,99.33693553717092,99.33444259567388,0.6849058186506025,83.84615384615384,84.36221867715115,88.07277686852156,83.84615384615385,16
55,0.03114716932683031,99.33444259567388,99.33444259567388,99.33444259567388,99.33444259567388,0.6480403183587542,86.92307692307692,86.99872677763217,87.38541349954393,86.92307692307692,16
56,0.01722839776898342,99.66722129783693,99.66698229706333,99.66861952767796,99.66722129783693,0.6500497738749497,83.84615384615384,83.97200322475946,84.94310653885121,83.84615384615385,16
57,0.03065642321139182,99.50083194675541,99.49941921697855,99.50386144474429,99.50083194675541,0.5522189025003981,85.38461538461539,85.38198864439998,85.85195681511472,85.38461538461539,16
58,0.014450398425412314,99.66722129783693,99.66682981998862,99.66801362808019,99.66722129783693,0.6609883523869939,85.38461538461539,85.47300011816141,85.77934347264915,85.38461538461539,16
59,0.014231683473075176,99.66722129783693,99.66748340439973,99.67046791932145,99.66722129783693,0.6849467945345774,81.53846153846153,81.33533834586466,82.64543184647864,81.53846153846153,16
60,0.007949924019876084,100.0,100.0,100.0,100.0,0.6323520690598848,83.07692307692308,83.16018099547512,83.42490842490842,83.07692307692308,16
61,0.014374265671664799,99.66722129783693,99.66698229706333,99.66861952767796,99.66722129783693,0.728174721374267,84.61538461538461,84.69044933561062,85.91276230566723,84.61538461538461,16
62,0.02395967069529242,99.33444259567388,99.33443005446281,99.33789440313174,99.33444259567388,0.5777958540582202,86.15384615384616,85.97213661384964,85.89426649001118,86.15384615384616,16
63,0.01713464848427592,99.50083194675541,99.50017524443749,99.50219879718085,99.50083194675541,0.6735071572143675,85.38461538461539,85.14188149132076,85.0899028507724,85.38461538461539,16
64,0.023213713137298135,99.00166389351082,99.006687277437,99.02644499604484,99.00166389351082,0.9411631394741562,80.0,78.71684141319768,83.85853923509204,80.0,16
65,0.043471575069768155,98.66888519134775,98.66832589941133,98.67515493501169,98.66888519134775,0.6209807129602672,83.07692307692308,82.84978833332804,82.82743126836533,83.07692307692308,16
66,0.024175809540075102,99.16805324459234,99.1706081294356,99.17498613422073,99.16805324459234,0.6572060429251805,83.84615384615384,83.8139097744361,84.5210516639088,83.84615384615385,16
