epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,val_prec,val_rec,best_epoch
0,0.0011392046090852666,100.0,100.0,0.8137168754926987,85.38461538461539,85.06190999916818,85.43346904550918,85.38461538461539,-1
1,0.0008477938212500272,100.0,100.0,1.009355921828602,85.38461538461539,84.89715405592861,85.54220779220779,85.38461538461539,0
2,0.0006957720728869868,100.0,100.0,0.9248733492438785,85.38461538461539,84.89715405592861,85.54220779220779,85.38461538461539,0
3,0.0004874427097667266,100.0,100.0,0.7732234387141135,86.92307692307692,86.58007798652959,87.10654216089,86.92307692307692,0
4,0.0005649933458411588,100.0,100.0,0.8404257640941069,86.15384615384616,85.7553284034895,86.4343349886828,86.15384615384616,3
5,0.0001985487434515227,100.0,100.0,0.8130035166525178,84.61538461538461,84.23913862223075,84.96767495494962,84.61538461538461,3
6,9.654144145985668e-05,100.0,100.0,0.9926793355908659,83.84615384615384,83.5013721152335,84.16928193757462,83.84615384615385,3
7,0.00027713227488771066,100.0,100.0,1.409938964928895,80.76923076923077,80.19092117941642,83.35891120373878,80.76923076923077,3
8,0.013606456341916017,99.50083194675541,99.50109115542611,1.2411198308056757,81.53846153846153,80.575761347606,82.24300805063054,81.53846153846153,3
9,0.0005564659126871687,100.0,100.0,1.2201666742330417,84.61538461538461,84.17959892489158,85.05345198279981,84.61538461538461,3
10,0.00010885140595387623,100.0,100.0,1.085594248046012,83.84615384615384,83.30120859532624,84.078603749192,83.84615384615385,3
11,4.099851136180931e-05,100.0,100.0,0.9151642268730534,84.61538461538461,84.3630393702683,84.65596739979904,84.61538461538461,3
12,4.4661509222303144e-05,100.0,100.0,0.9634656911301944,83.84615384615384,83.52628464890871,83.7255644693961,83.84615384615385,3
13,2.8610987813312693e-05,100.0,100.0,0.9959310396936618,83.84615384615384,83.51336411566295,83.86109504530558,83.84615384615385,3
