epoch,train_total_loss,train_kd_loss,train_ce_loss,train_acc,train_f1,train_precision,train_recall,val_total_loss,val_kd_loss,val_ce_loss,val_acc,val_f1,val_precision,val_recall,best_epoch
0,5.430110780816329,6.798992771851389,1.323464727715442,51.24792013311148,46.6591565561508,45.813393831913686,51.24792013311148,3.6849036282963223,4.40249858962165,1.532118748459551,61.53846153846154,55.754006981376904,54.931248238940555,61.53846153846154,-1
1,4.457038358638161,5.55894128272408,1.151329348746099,62.7287853577371,57.90403178276677,65.69226098471682,62.7287853577371,3.6535900367630854,4.3092916872766285,1.6864851283478655,64.61538461538461,60.27700862204812,66.08561643835617,64.61538461538461,-1
2,3.8984379454662927,4.8630443434966235,1.0046189317577763,69.05158069883528,65.28105547725626,70.11410594966043,69.05158069883528,2.824985795550876,3.3882162835862903,1.1352945980098512,70.76923076923077,67.19119386312997,69.47863247863248,70.76923076923077,-1
3,3.6566290635811654,4.548849187399211,0.9799686797747487,70.21630615640599,67.0932508360633,66.97897966991377,70.21630615640599,2.5635395182503595,3.1088386376698813,0.9276420391268201,72.3076923076923,69.42143742493188,71.2870462870463,72.3076923076923,-1
4,3.332697316219932,4.15043326428062,0.8794896498714623,75.04159733777038,72.12441054449975,76.47176708106572,75.04159733777038,3.330946230226093,3.907764779196845,1.600490637602181,70.0,66.86545153792615,71.32730015082956,70.0,-1
5,2.93078035743613,3.6602074252931693,0.742499283269832,76.87188019966722,75.02725281063822,75.42504702192664,76.87188019966722,2.300157712565528,2.6965914169947305,1.1108566572268803,74.61538461538461,73.66623146674297,74.72466422466422,74.61538461538461,-1
6,2.7905339284947046,3.486381731535259,0.7029905714290706,78.53577371048253,77.5368535869907,78.00196300177149,78.53577371048253,3.1759914259115853,3.670957261489497,1.6910940048627607,70.0,66.90126731506042,71.28918449971081,70.0,-1
7,2.314528540561074,2.9094486895360445,0.5297681438295465,82.86189683860233,82.38376948416756,82.50967789640939,82.86189683860233,2.5150828891330295,2.900241994195514,1.3596056189853698,71.53846153846153,66.73398570570787,63.74831309041834,71.53846153846153,-1
8,2.2849897648158826,2.853258274103466,0.5801842573441958,82.6955074875208,82.21619272094287,82.32649132864461,82.6955074875208,2.164679447809855,2.5344700151019626,1.055307887494564,74.61538461538461,73.91930033790499,75.60758131990096,74.61538461538461,-1
9,2.1338708181130257,2.6708986445477136,0.5227873177316628,84.8585690515807,84.54027548810164,84.78003016272567,84.8585690515807,1.9857215848233964,2.2848293251461453,1.0883982564426131,80.0,79.34276507805919,80.30709486591839,80.0,-1
10,2.047144409857298,2.5716024997987246,0.47377011630880206,85.35773710482529,85.00324086217852,85.11736320718619,85.35773710482529,1.5238616797659132,1.8407113022274442,0.573312920000818,80.76923076923077,80.16399675974144,82.73809523809526,80.76923076923077,-1
11,1.7280268198565434,2.174182636173148,0.38955939992478017,86.522462562396,86.35531288274798,86.40537996985441,86.522462562396,1.4075702097680833,1.6775232685936823,0.5977109364337392,83.07692307692308,82.81451086490874,83.9009768009768,83.07692307692308,11
12,1.8328335112647007,2.303790481466996,0.4199625706594241,85.52412645590682,85.29527810365451,85.2337951898033,85.52412645590682,1.4637561672263675,1.69467513428794,0.7709994232282043,82.3076923076923,81.86719263642341,82.16018099547512,82.3076923076923,11
13,1.9110004666604494,2.3869340513881885,0.48319965277455357,87.18801996672212,86.98745531111899,87.08997803368307,87.18801996672212,1.2208047947949834,1.3730184071593814,0.7641640108874223,77.6923076923077,75.50484959296504,77.8997927997928,77.6923076923077,13
14,1.678667857458717,2.108199400337119,0.39007326365007383,88.51913477537438,88.34155184039744,88.50659838500788,88.51913477537437,2.2943553030490875,2.666557060347663,1.1777499790251669,80.0,79.75266415375309,80.79026806526807,80.0,13
15,1.686897823685094,2.117943641386534,0.3937604100884576,87.0216306156406,86.762796037857,87.07185283034966,87.0216306156406,1.5567259159353044,1.8810008962949116,0.5839009064301435,80.0,79.45142102794819,80.43447293447294,80.0,13
16,1.570946244817031,1.9553626336549457,0.41769713920688156,87.18801996672212,86.98144804351223,87.24975227739438,87.18801996672212,1.3012693921724956,1.5112822784317865,0.6712307098011175,80.0,77.9736842105263,80.28393215050897,80.0,13
17,1.584925474304902,1.9834747643847215,0.3892776384998701,89.1846921797005,89.01396973817852,89.27306833944647,89.18469217970049,1.87616760076748,2.1295843198895454,1.115917346540401,81.53846153846153,80.77129692762247,82.427337574706,81.53846153846153,13
18,1.5926755337338698,1.992077000831303,0.39447114476934075,87.85357737104825,87.65316327008537,87.6518056525021,87.85357737104825,1.6606319116221533,1.9525910980171628,0.7847544158252681,80.0,79.37514577599478,81.75107921152545,80.0,13
19,1.4771559975649182,1.8502726052936755,0.35780613168485853,90.18302828618968,90.15994136618176,90.14668341977288,90.18302828618968,1.5590313118365076,1.7587608330779605,0.959842642808831,81.53846153846153,80.96561572602884,81.25216225216226,81.53846153846153,13
20,1.448525375441501,1.8180381961558993,0.33998692476827846,89.85024958402663,89.78759379570863,89.76396495678156,89.85024958402661,1.444525612725152,1.6549414330058627,0.8132782101424204,80.76923076923077,78.04356297418276,79.83346415489272,80.76923076923077,13
21,1.3529740422964096,1.6942807483045679,0.3290539024593799,89.85024958402663,89.74655260689904,89.80667378221285,89.85024958402661,1.4087287651167975,1.6852495471636455,0.5791664055238167,83.84615384615384,83.52835040614197,84.92971310630675,83.84615384615385,13
22,1.3451537333036725,1.6969469817061174,0.28977393969207216,91.18136439267887,91.08582099589782,91.17747425816665,91.18136439267886,1.3101429972383711,1.49310745133294,0.7612496694653399,83.84615384615384,83.54419703103915,84.75990675990676,83.84615384615385,13
23,1.1608839568338896,1.458303933080874,0.26862402091194926,91.01497504159734,90.95998707076458,90.95171046396615,91.01497504159734,0.9945548507902358,1.1625597212049696,0.49054028238687253,83.07692307692308,82.15188744737011,82.59483615073678,83.07692307692308,23
24,1.0677510499954224,1.3538834091864134,0.20935395651643998,92.84525790349417,92.79784542236538,92.79575573026025,92.84525790349417,1.0951144297917683,1.2428243226475186,0.6519846575748589,83.07692307692308,82.78874043362511,82.92419238668641,83.07692307692308,23
25,1.110192159288808,1.396023784813128,0.2526972948598038,92.34608985024958,92.2847729649131,92.26869712034022,92.34608985024958,0.8651120695802901,0.9701864338583417,0.5498890319140628,86.15384615384616,85.80820049913456,86.34508477947391,86.15384615384616,25
26,1.2691450793492167,1.5906828916386555,0.30453165800090093,91.846921797005,91.72026774956983,91.93495524724179,91.84692179700498,1.5621598958969116,1.8585611118210688,0.6729561269490255,80.76923076923077,80.71610540759477,84.32250221043324,80.76923076923077,25
27,1.315814111577837,1.6533705796066083,0.3031447045259962,92.01331114808653,91.9721795328179,92.01401904406671,92.01331114808652,1.3518524103694491,1.578070850835906,0.6731971450321402,82.3076923076923,82.15019723865879,83.17399267399267,82.3076923076923,25
28,1.0533996130290784,1.3400383591651917,0.1934833586166956,93.5108153078203,93.42648644947393,93.47731121763799,93.5108153078203,1.5014058165252209,1.7053687597314517,0.8895170728495335,81.53846153846153,80.96547880814359,81.82605552342396,81.53846153846153,25
29,1.1204186928899664,1.4156424881596315,0.23474732688383051,93.0116472545757,92.91817973664477,92.99607446282528,93.0116472545757,1.1038631316688325,1.3207001553641424,0.4533521303932907,87.6923076923077,87.64182350027082,88.4935112506541,87.6923076923077,25
30,1.058940473747881,1.339276167907213,0.21793337238609398,92.17970049916805,92.155285504335,92.18324543887678,92.17970049916805,1.3667067537705104,1.524168295164903,0.8943221083253674,78.46153846153847,77.21862937803623,79.85212201591513,78.46153846153847,25
31,1.2092723873885054,1.5105858641235452,0.30533201682479366,91.34775374376039,91.20001653699083,91.50096864556905,91.34775374376039,1.3537309616804123,1.5310657877061102,0.821726611085473,81.53846153846153,80.84933834717802,81.66925666925668,81.53846153846153,25
32,1.04149492555543,1.3227802828738564,0.19763891141567574,94.0099833610649,93.98757312819737,93.9994701366773,94.0099833610649,1.4665168689356909,1.7322727243105571,0.6692493051005941,78.46153846153847,76.26877789767006,79.82220690843312,78.46153846153847,25
33,0.9717472901469782,1.232797962270285,0.18859525666400595,94.0099833610649,93.95780871221157,93.99428490596716,94.0099833610649,1.0107676022582583,1.1535836474763022,0.5823194433598675,85.38461538461539,85.06783117482667,86.80535273311803,85.38461538461539,25
34,0.9804061643387142,1.231308107313357,0.2277003121010861,92.67886855241265,92.62234784733668,92.69933642335299,92.67886855241264,0.9734145998954773,1.1079030864768558,0.5699491381367099,83.07692307692308,82.2709895836033,82.59319112260289,83.07692307692308,25
35,1.103135693622263,1.3854511835073169,0.25618916678879605,91.68053244592346,91.57495493543477,91.60326373270958,91.68053244592346,1.1187894009053707,1.2332387682464387,0.7754412565930883,80.76923076923077,80.15912758265699,80.24397614681016,80.76923076923077,25
36,0.8642935062709608,1.095264710878071,0.17137989849097243,94.34276206322795,94.27708820930972,94.3467315681849,94.34276206322795,1.6834322677718268,2.023101548353831,0.6644244776495422,85.38461538461539,85.52877356000211,87.50427069576006,85.38461538461539,25
37,1.0020227436172335,1.2664030053113635,0.20888195262829723,94.0099833610649,93.96746885613713,94.00240647063684,94.0099833610649,1.3516263034608629,1.6412460174825456,0.48276710931936073,84.61538461538461,84.394620724544,84.76635110920824,84.61538461538461,25
38,0.8871201582645115,1.1193085132460845,0.19055509533867926,94.67554076539102,94.66825319373736,94.68069753680692,94.67554076539102,1.849251771138774,2.0475030168890953,1.2544983219762065,82.3076923076923,81.75714285714287,81.99116276039354,82.3076923076923,25
39,1.0096705995107953,1.2725911297296222,0.2209090249441368,93.17803660565724,93.16361712934686,93.19462193793584,93.17803660565723,1.8698527932994895,2.0605442681246333,1.2977784664714516,83.07692307692308,82.6671813837782,82.6596224288532,83.07692307692308,25
