model,accuracy,f1,precision,recall
teacher,83.84615384615384,83.91905487868158,84.32210960206481,83.84615384615385
student,85.38461538461539,85.35248266554981,85.63757670900529,85.38461538461539
student_kd,83.07692307692308,82.86396832980684,83.49492814877429,83.07692307692308
